Abricate_accession	Abricate_gene	gene family	product name	class	subclass	refseq protein	refseq nucleotide
A7J11_00087	A7J11_00087		bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_001028144.1	NG_047055.1
A7J11_02581	A7J11_02581		bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	WP_063839878.1	NG_047218.1
A7J11_00131	A7J11_00131		bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib''	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_063838852.1	NG_047210.1
A7J11_01418	A7J11_01418		bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ij/aminoglycoside N-acetyltransferase AAC(6')-Ib	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063839875.1	NG_047214.1
A7J11_02128	A7J11_02128		bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13	BETA-LACTAM	BETA-LACTAM	WP_063839877.1	NG_047216.1
A7J11_05882	A7J11_05882		bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie2/aminoglycoside O-phosphotransferase APH(2'')-If2	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_057097547.1	NG_062220.1
A7J11_05910	A7J11_05910		bifunctional AAC(6')-Ie family aminoglycoside N-acetyltransferase/APH(2'') family aminoglycoside O-phosphotransferase	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_122630840.1	NG_062248.1
A7J11_02307	A7J11_02307		bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_012655884.1	NG_047217.1
A7J11_04295	A7J11_04295		bifunctional type B-3 chloramphenicol O-acetyltransferase CatB8/aminoglycoside N-acetyltransferase AAC(6')-Ib	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071593228.1	NG_052052.1
A7J11_04464	A7J11_04464		bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1	STREPTOTHRICIN	STREPTOTHRICIN	WP_071846307.1	NG_052372.1
A7J11_01145	A7J11_01145		bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_032490744.1	NG_047212.1
A7J11_01233	A7J11_01233		bifunctional aminoglycoside N-acetyltransferase AAC(6')-30/aminoglycoside N-acetyltransferase AAC(6')-Ib'	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063838853.1	NG_047213.1
A7J11_04270	A7J11_04270		bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ia/aminoglycoside N-acetyltransferase AAC(6')-IIa	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	WP_070342373.1	NG_051910.1
A7J11_02829	aac(2')-IIa	aac(2')-IIa	kasugamycin N-acetyltransferase AAC(2')-IIa	AMINOGLYCOSIDE	KASUGAMYCIN	WP_063839881.1	NG_047225.1
A7J11_05203	aac(2')-IIb	aac(2')-IIb	kasugamycin N-acetyltransferase AAC(2')-IIb	AMINOGLYCOSIDE	KASUGAMYCIN	WP_071224044.1	NG_055672.1
A7J11_00289	aac(2')-Ia	aac(2')-Ia	aminoglycoside N-acetyltransferase AAC(2')-Ia	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	WP_004918308.1	NG_047226.1
A7J11_00101	aac(2')-Ib	aac(2')-Ib	aminoglycoside N-acetyltransferase AAC(2')-Ib	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	WP_003881640.1	NG_047227.1
A7J11_01050	aac(2')-Ic	aac(2')-Ic	aminoglycoside N-acetyltransferase AAC(2')-Ic	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	WP_003899880.1	NG_047229.1
A7J11_00142	aac(2')-Id	aac(2')-Id	aminoglycoside N-acetyltransferase AAC(2')-Id	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	WP_011726942.1	NG_047230.1
A7J11_00978	aac(2')-Ie	aac(2')-Ie	aminoglycoside N-acetyltransferase AAC(2')-Ie	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	WP_010908954.1	NG_050581.1
A7J11_00280	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_022542381.1	NG_047232.1
A7J11_01084	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_002089484.1	NG_047234.1
A7J11_00123	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_063840256.1	NG_047235.1
A7J11_00728	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_063840257.1	NG_047236.1
A7J11_04486	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_071846359.1	NG_052479.1
A7J11_02497	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_063840259.1	NG_047239.1
A7J11_00010	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_032491356.1	NG_047233.1
A7J11_01563	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_011270148.1	NG_047237.1
A7J11_01745	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_063840258.1	NG_047238.1
A7J11_04496	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_003155734.1	NG_052489.1
A7J11_02592	aac(3)-I	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_063840260.1	NG_047240.1
A7J11_05251	aac(3)-Ia	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	WP_032492247.1	NG_056001.1
A7J11_02607	aac(3)-Ib	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	WP_010792467.1	NG_047257.1
A7J11_01128	aac(3)-Ic	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ic	AMINOGLYCOSIDE	GENTAMICIN	WP_034006142.1	NG_048568.1
A7J11_01245	aac(3)-Id	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Id	AMINOGLYCOSIDE	GENTAMICIN	WP_038404949.1	NG_048569.1
A7J11_01507	aac(3)-If	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-If	AMINOGLYCOSIDE	GENTAMICIN	WP_063856942.1	NG_048570.1
A7J11_01124	aac(3)-Ig	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ig	AMINOGLYCOSIDE	GENTAMICIN	WP_011468318.1	NG_048571.1
A7J11_01578	aac(3)-Ih	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ih	AMINOGLYCOSIDE	GENTAMICIN	WP_011749610.1	NG_048572.1
A7J11_01779	aac(3)-Ii	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ii	AMINOGLYCOSIDE	GENTAMICIN	WP_011540937.1	NG_048573.1
A7J11_01637	aac(3)-II	aac(3)-II	AAC(3)-II family aminoglycoside N-acetyltransferase	AMINOGLYCOSIDE	GENTAMICIN	WP_012695485.1	NG_047231.1
A7J11_00565	aac(3)-IIb	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IIb	AMINOGLYCOSIDE	GENTAMICIN	WP_033147097.1	NG_047249.1
A7J11_00195	aac(3)-IIc	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IIc	AMINOGLYCOSIDE	GENTAMICIN	WP_063840266.1	NG_047250.1
